Argument Shapes,Count,Device,Duration (us),Name,Percent
"float32[1, 8], float32[1, 1]",1,"metal0",205.042,"fused_tir_square29_sum291",0.437945
"float32[1, 1], float32[1, 8], float32[1, 8]",1,"metal0",172.292,"fused_broadcast_to_maximum_tir_sqrt12_divide291",0.367995
"float32[1, 8], float32[1, 1]",1,"metal0",184.625,"fused_tir_square29_sum291",0.394336
"float32[1, 8], float32[8, 1024], float32[1, 1], float32[1, 1024], float32[1, 1024]",1,"metal0",177.208,"fused_matmul_multiply29_subtract_add321",0.378495
"float32[1, 1024], int32[1, 1]",1,"metal0",259.125,"topk",0.553459
"int32[1, 1]",1,"metal0",53.833,"vm.builtin.reshape",0.114981
"float32[1024, 8], int32[1], float32[1, 8]",1,"metal0",179.834,"take11",0.384103
"float32[1, 8]",1,"metal0",68.792,"vm.builtin.reshape",0.146931
"float32[1, 8, 1], float32[1024, 8, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",182.5,"fused_conv1d41_add301",0.389798
"float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",239.042,"subtract11",0.510564
"float32[1, 1024, 1], float32[8, 1024, 1], float32[1, 8, 1], float32[1, 8, 1]",1,"metal0",240.084,"fused_conv1d40_add311",0.51279
"float32[1, 8, 1]",1,"metal0",50.292,"vm.builtin.reshape",0.107418
"float32[1, 8], float32[1, 1]",1,"metal0",192.584,"fused_tir_square29_sum291",0.411336
"float32[1, 1], float32[1, 8], float32[1, 8]",1,"metal0",177.375,"fused_broadcast_to_maximum_tir_sqrt12_divide291",0.378851
"float32[1, 8], float32[1, 1]",1,"metal0",165.042,"fused_tir_square29_sum291",0.352509
"float32[1, 8], float32[8, 1024], float32[1, 1], float32[1, 1024], float32[1, 1024]",1,"metal0",195.625,"fused_matmul_multiply29_subtract_add321",0.417831
"float32[1, 1024], int32[1, 1]",1,"metal0",387.792,"topk",0.828276
"int32[1, 1]",1,"metal0",50.5,"vm.builtin.reshape",0.107862
"float32[1024, 8], int32[1], float32[1, 8]",1,"metal0",168.625,"take11",0.360162
"float32[1, 8]",1,"metal0",65.875,"vm.builtin.reshape",0.140701
"float32[1, 8, 1], float32[1024, 8, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",210.958,"fused_conv1d41_add301",0.45058
"float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",176.417,"subtract11",0.376805
"float32[1, 1024, 1], float32[8, 1024, 1], float32[1, 8, 1], float32[1, 8, 1]",1,"metal0",220.541,"fused_conv1d40_add311",0.471049
"float32[1, 8, 1]",1,"metal0",48.375,"vm.builtin.reshape",0.103323
"float32[1, 8], float32[1, 1]",1,"metal0",181.375,"fused_tir_square29_sum291",0.387395
"float32[1, 1], float32[1, 8], float32[1, 8]",1,"metal0",151.417,"fused_broadcast_to_maximum_tir_sqrt12_divide291",0.323408
"float32[1, 8], float32[1, 1]",1,"metal0",158.75,"fused_tir_square29_sum291",0.339071
"float32[1, 8], float32[8, 1024], float32[1, 1], float32[1, 1024], float32[1, 1024]",1,"metal0",236,"fused_matmul_multiply29_subtract_add321",0.504067
"float32[1, 1024], int32[1, 1]",1,"metal0",312.083,"topk",0.666571
"int32[1, 1]",1,"metal0",57.625,"vm.builtin.reshape",0.12308
"float32[1024, 8], int32[1], float32[1, 8]",1,"metal0",199.583,"take11",0.426285
"float32[1, 8]",1,"metal0",56.041,"vm.builtin.reshape",0.119697
"float32[1, 8, 1], float32[1024, 8, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",350.792,"fused_conv1d41_add301",0.749249
"float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",173.875,"subtract11",0.371376
"float32[1, 1024, 1], float32[8, 1024, 1], float32[1, 8, 1], float32[1, 8, 1]",1,"metal0",215.75,"fused_conv1d40_add311",0.460816
"float32[1, 8, 1]",1,"metal0",41.625,"vm.builtin.reshape",0.0889059
"float32[1, 8], float32[1, 1]",1,"metal0",166.959,"fused_tir_square29_sum291",0.356604
"float32[1, 1], float32[1, 8], float32[1, 8]",1,"metal0",191.875,"fused_broadcast_to_maximum_tir_sqrt12_divide291",0.409821
"float32[1, 8], float32[1, 1]",1,"metal0",187.167,"fused_tir_square29_sum291",0.399766
"float32[1, 8], float32[8, 1024], float32[1, 1], float32[1, 1024], float32[1, 1024]",1,"metal0",188.833,"fused_matmul_multiply29_subtract_add321",0.403324
"float32[1, 1024], int32[1, 1]",1,"metal0",303.125,"topk",0.647438
"int32[1, 1]",1,"metal0",64,"vm.builtin.reshape",0.136696
"float32[1024, 8], int32[1], float32[1, 8]",1,"metal0",184.75,"take11",0.394603
"float32[1, 8]",1,"metal0",49.917,"vm.builtin.reshape",0.106617
"float32[1, 8, 1], float32[1024, 8, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",178.083,"fused_conv1d41_add301",0.380363
"float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",199.208,"subtract11",0.425484
"float32[1, 1024, 1], float32[8, 1024, 1], float32[1, 8, 1], float32[1, 8, 1]",1,"metal0",235,"fused_conv1d40_add311",0.501931
"float32[1, 8, 1]",1,"metal0",63.625,"vm.builtin.reshape",0.135895
"float32[1, 8], float32[1, 1]",1,"metal0",152.125,"fused_tir_square29_sum291",0.32492
"float32[1, 1], float32[1, 8], float32[1, 8]",1,"metal0",162.167,"fused_broadcast_to_maximum_tir_sqrt12_divide291",0.346369
"float32[1, 8], float32[1, 1]",1,"metal0",209.75,"fused_tir_square29_sum291",0.448
"float32[1, 8], float32[8, 1024], float32[1, 1], float32[1, 1024], float32[1, 1024]",1,"metal0",188.5,"fused_matmul_multiply29_subtract_add321",0.402613
"float32[1, 1024], int32[1, 1]",1,"metal0",310.209,"topk",0.662568
"int32[1, 1]",1,"metal0",63.209,"vm.builtin.reshape",0.135007
"float32[1024, 8], int32[1], float32[1, 8]",1,"metal0",199.167,"take11",0.425396
"float32[1, 8]",1,"metal0",60.333,"vm.builtin.reshape",0.128864
"float32[1, 8, 1], float32[1024, 8, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",188.209,"fused_conv1d41_add301",0.401991
